,highest_market_value_in_eur,Born,Age,npxG+xAG,G+A,PrgC,xAG,Ast,PrgP,90s,Min,Starts,PrgR,Rk,G+A-PK,market_value_in_eur
57,0.08307863295359823,0.36000000000001364,0.625,0.14666666666666667,0.07692307692307693,0.1951219512195122,0.1232876712328767,0.09090909090909091,0.9010238907849829,0.8208092485549132,0.8210154241645243,0.8285714285714285,0.08264462809917356,0.036550745209368345,0.04046242774566475,10000000
59,0.071964434565157,0.5200000000000102,0.45833333333333326,0.12444444444444444,0.15384615384615385,0.07317073170731708,0.0821917808219178,0.18181818181818182,0.33788395904436863,0.7716763005780346,0.7728149100257068,0.7999999999999999,0.01652892561983471,0.03726046841731725,0.08670520231213873,11000000
60,0.03306474020561267,0.7200000000000131,0.25,0.14666666666666667,0.15384615384615385,0.17682926829268295,0.0684931506849315,0.09090909090909091,0.15699658703071673,0.36705202312138724,0.36632390745501286,0.2857142857142857,0.1384297520661157,0.0383250532292406,0.18497109826589597,5000000
61,0.044178938594053904,0.7600000000000051,0.20833333333333337,0.07111111111111111,0.07692307692307693,0.006097560975609756,0.0273972602739726,0.09090909090909091,0.08532423208191127,0.1907514450867052,0.19023136246786632,0.17142857142857143,0.01652892561983471,0.0397444996451384,0.17341040462427745,8000000
62,0.09974993053626008,0.36000000000001364,0.6666666666666667,0.34222222222222226,0.3076923076923077,0.27439024390243905,0.08904109589041095,0.2727272727272727,0.09215017064846416,0.5664739884393064,0.5678020565552698,0.5714285714285714,0.23553719008264462,0.04009936124911285,0.23699421965317918,9000000
63,0.41650458460683526,0.7600000000000051,0.25,0.3466666666666667,0.19230769230769232,0.48170731707317077,0.1506849315068493,0.09090909090909091,0.2286689419795222,0.5144508670520231,0.5134961439588688,0.5714285714285714,0.29958677685950413,0.04045422285308729,0.161849710982659,70000000
64,0.0019449847179772162,0.7600000000000051,0.25,0.3466666666666667,0.19230769230769232,0.48170731707317077,0.1506849315068493,0.09090909090909091,0.2286689419795222,0.5144508670520231,0.5134961439588688,0.5714285714285714,0.29958677685950413,0.04045422285308729,0.161849710982659,400000
65,0.010836343428730204,0.5200000000000102,0.5,0.25333333333333335,0.3076923076923077,0.3353658536585366,0.23972602739726026,0.5454545454545454,0.09556313993174062,0.5549132947976878,0.5543059125964009,0.5428571428571428,0.39669421487603307,0.0411639460610362,0.24277456647398846,1800000
66,0.008057793831619895,0.5600000000000023,0.45833333333333326,0.035555555555555556,0.038461538461538464,0.03658536585365854,0.0273972602739726,0.0,0.010238907849829351,0.06647398843930635,0.06715938303341902,0.08571428571428572,0.008264462809917356,0.04151880766501065,0.2485549132947977,1000000
67,0.3053626007224229,0.6800000000000068,0.29166666666666674,0.06222222222222222,0.07692307692307693,0.07317073170731708,0.02054794520547945,0.09090909090909091,0.11604095563139932,0.15606936416184972,0.15616966580976863,0.17142857142857143,0.06611570247933884,0.04187366926898509,0.2138728323699422,15000000
68,0.05529313698249514,0.8400000000000034,0.125,0.02666666666666667,0.0,0.0975609756097561,0.00684931506849315,0.0,0.07849829351535836,0.08092485549132947,0.080012853470437,0.02857142857142857,0.04132231404958678,0.042228530872959545,0.0,3000000
70,0.1386496248958044,0.5600000000000023,0.41666666666666674,0.08,0.038461538461538464,0.04878048780487805,0.10273972602739725,0.09090909090909091,0.10921501706484642,0.2861271676300578,0.28598971722365035,0.3142857142857143,0.014462809917355372,0.043293115684882894,0.05780346820809249,13000000
71,0.08307863295359823,0.3200000000000074,0.7083333333333333,0.022222222222222223,0.038461538461538464,0.01829268292682927,0.0136986301369863,0.0,0.10921501706484642,0.15895953757225434,0.15809768637532134,0.11428571428571428,0.014462809917355372,0.043647977288857345,0.10404624277456648,3500000
72,0.044178938594053904,0.8000000000000114,0.16666666666666674,0.0,0.0,0.01829268292682927,0.0,0.0,0.0,0.014450867052023121,0.015424164524421594,0.0,0.006198347107438017,0.04435770049680625,0.0,8000000
73,0.0019449847179772162,0.8800000000000097,0.08333333333333337,0.017777777777777778,0.0,0.006097560975609756,0.00684931506849315,0.0,0.0034129692832764505,0.040462427745664734,0.04080976863753213,0.02857142857142857,0.01652892561983471,0.044712562100780694,0.0,400000
74,0.08307863295359823,0.6000000000000085,0.375,0.10222222222222221,0.07692307692307693,0.11585365853658537,0.0547945205479452,0.0,0.13310580204778158,0.36994219653179194,0.3708226221079691,0.34285714285714286,0.12809917355371903,0.0454222853087296,0.09248554913294799,15000000
75,0.09974993053626008,0.6400000000000006,0.375,0.14222222222222222,0.07692307692307693,0.23170731707317074,0.08904109589041095,0.09090909090909091,0.05460750853242321,0.4161849710982659,0.4167737789203085,0.39999999999999997,0.14049586776859505,0.04577714691270404,0.0809248554913295,12000000
