,highest_market_value_in_eur,Age,npxG+xAG,PrgC,xAG,Ast,G+A,90s,Min,PrgP,Starts,MP,PrgR,Rk,Pos_MF,market_value_in_eur
1035,0.14976382328424565,0.16666666666666674,0.4355555555555556,0.5670731707317074,0.4931506849315068,0.8181818181818182,0.42307692307692313,0.7976878612716763,0.7965938303341902,0.40955631399317405,0.7999999999999999,0.9705882352941176,0.42768595041322316,0.8437225636523267,1.0,27000000.0
1036,0.2775771047513198,0.33333333333333326,0.26666666666666666,0.17682926829268295,0.22602739726027396,0.36363636363636365,0.23076923076923078,0.3554913294797688,0.3550771208226221,0.20819112627986347,0.37142857142857144,0.5882352941176471,0.1652892561983471,0.8454784899034241,0.0,40000000.0
1037,0.008057793831619895,0.41666666666666674,0.10222222222222221,0.054878048780487805,0.0684931506849315,0.09090909090909091,0.11538461538461539,0.30635838150289013,0.3065552699228792,0.08532423208191127,0.19999999999999998,0.8823529411764706,0.1487603305785124,0.8476733977172959,0.0,1500000.0
1038,0.23312031119755489,0.16666666666666674,0.23111111111111113,0.14634146341463417,0.15753424657534246,0.18181818181818182,0.11538461538461539,0.7341040462427745,0.7329691516709511,0.2150170648464164,0.7714285714285714,0.8529411764705882,0.08884297520661158,0.8481123792800702,0.0,42000000.0
1039,0.027507641011392057,0.25,0.022222222222222223,0.06707317073170732,0.00684931506849315,0.0,0.0,0.22254335260115607,0.22268637532133675,0.09215017064846416,0.22857142857142856,0.5294117647058824,0.0371900826446281,0.848990342405619,1.0,4000000.0
1040,0.024729091414281746,0.5833333333333333,0.44000000000000006,0.3780487804878049,0.21232876712328766,0.18181818181818182,0.42307692307692313,0.7283236994219653,0.7291131105398456,0.14675767918088736,0.7142857142857143,0.7941176470588235,0.4049586776859504,0.8494293239683933,1.0,3500000.0
1041,0.03306474020561267,0.375,0.0,0.006097560975609756,0.0,0.0,0.0,0.005780346820809249,0.004498714652956298,0.0,0.0,0.029411764705882353,0.0,0.8498683055311678,1.0,2500000.0
1042,0.12197832731314255,0.45833333333333326,0.05333333333333334,0.006097560975609756,0.00684931506849315,0.0,0.0,0.10982658959537571,0.11086118251928019,0.017064846416382253,0.08571428571428572,0.2647058823529412,0.045454545454545456,0.8503072870939421,1.0,17000000.0
1043,0.05529313698249514,0.33333333333333326,0.06666666666666667,0.024390243902439025,0.0410958904109589,0.18181818181818182,0.07692307692307693,0.2254335260115607,0.22525706940874035,0.07167235494880546,0.17142857142857143,0.5,0.0371900826446281,0.8507462686567164,1.0,9000000.0
1044,0.11086412892470132,0.45833333333333326,0.14666666666666667,0.12804878048780488,0.0821917808219178,0.09090909090909091,0.11538461538461539,0.2976878612716763,0.29884318766066836,0.04778156996587031,0.2571428571428571,0.7058823529411764,0.15289256198347106,0.8525021949078139,0.0,8000000.0
