Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW,market_value_in_eur
106.0,1994.0,29.0,28.0,2406.0,26.7,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,0.08391608391608392,0.33788395904436863,0.025974025974025976,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,13000000.0,0.0,0.0,0.0,1.0,11000000.0
109.0,1999.0,27.0,10.0,1141.0,12.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.3,0.20279720279720279,0.15699658703071673,0.21753246753246755,0.24,0.08,0.32,0.24,0.32,0.18,0.08,0.26,0.18,0.26,6000000.0,0.0,1.0,0.0,0.0,5000000.0
113.0,2000.0,16.0,6.0,593.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.4,1.6,0.006993006993006993,0.08532423208191127,0.025974025974025976,0.15,0.15,0.3,0.15,0.3,0.18,0.05,0.24,0.18,0.24,8000000.0,0.0,0.0,0.0,1.0,8000000.0
114.0,1990.0,32.0,20.0,1768.0,19.6,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,6.4,6.4,1.3,7.7,0.3146853146853147,0.09215017064846416,0.37012987012987014,0.25,0.15,0.41,0.25,0.41,0.33,0.06,0.39,0.33,0.39,18000000.0,0.0,0.0,1.0,0.0,9000000.0
115.0,2000.0,22.0,20.0,1599.0,17.8,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,5.6,5.6,2.2,7.8,0.5524475524475524,0.2286689419795222,0.4707792207792208,0.23,0.06,0.28,0.23,0.28,0.32,0.12,0.44,0.32,0.44,75000000.0,0.0,0.0,0.0,1.0,70000000.0
115.0,2000.0,22.0,20.0,1599.0,17.8,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,5.6,5.6,2.2,7.8,0.5524475524475524,0.2286689419795222,0.4707792207792208,0.23,0.06,0.28,0.23,0.28,0.32,0.12,0.44,0.32,0.44,400000.0,0.0,0.0,0.0,1.0,400000.0
117.0,1994.0,26.0,19.0,1726.0,19.2,2.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,3.5,5.7,0.38461538461538464,0.09556313993174062,0.6233766233766234,0.1,0.31,0.42,0.1,0.42,0.11,0.18,0.3,0.11,0.3,2000000.0,0.0,0.0,1.0,0.0,1800000.0
118.0,1995.0,3.0,3.0,210.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.8,0.04195804195804196,0.010238907849829351,0.012987012987012988,0.43,0.0,0.43,0.43,0.43,0.15,0.19,0.34,0.15,0.34,1500000.0,1.0,0.0,0.0,0.0,1000000.0
119.0,1998.0,14.0,6.0,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.3,1.4,0.08391608391608392,0.11604095563139932,0.1038961038961039,0.18,0.18,0.37,0.18,0.37,0.2,0.05,0.25,0.2,0.25,55000000.0,0.0,1.0,0.0,0.0,15000000.0
120.0,2002.0,11.0,1.0,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.11188811188811189,0.07849829351535836,0.06493506493506494,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.2,0.22,10000000.0,0.0,0.0,1.0,0.0,3000000.0
123.0,1995.0,11.0,11.0,891.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,1.5,1.8,0.055944055944055944,0.10921501706484642,0.022727272727272728,0.0,0.1,0.1,0.0,0.1,0.02,0.16,0.18,0.02,0.18,25000000.0,0.0,0.0,1.0,0.0,13000000.0
124.0,1989.0,10.0,4.0,493.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,0.02097902097902098,0.10921501706484642,0.022727272727272728,0.18,0.0,0.18,0.18,0.18,0.06,0.04,0.1,0.06,0.1,15000000.0,1.0,0.0,0.0,0.0,3500000.0
126.0,2001.0,6.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02097902097902098,0.0,0.00974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,1.0,0.0,8000000.0
127.0,2003.0,4.0,1.0,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.006993006993006993,0.0034129692832764505,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.29,0.19,0.29,400000.0,1.0,0.0,0.0,0.0,400000.0
129.0,1996.0,20.0,12.0,1155.0,12.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.8,2.3,0.13286713286713286,0.13310580204778158,0.2012987012987013,0.16,0.0,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18,15000000.0,0.0,0.0,1.0,0.0,15000000.0
130.0,1997.0,28.0,14.0,1298.0,14.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,1.3,3.2,0.26573426573426573,0.05460750853242321,0.2207792207792208,0.07,0.07,0.14,0.07,0.14,0.13,0.09,0.22,0.13,0.22,18000000.0,1.0,0.0,0.0,0.0,12000000.0
131.0,1992.0,29.0,13.0,1289.0,14.3,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,2.4,2.4,2.2,4.6,0.3986013986013986,0.2491467576791809,0.27272727272727276,0.14,0.07,0.21,0.14,0.21,0.17,0.15,0.32,0.17,0.32,8000000.0,1.0,0.0,0.0,0.0,6000000.0
134.0,2004.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,1.0,2000000.0
135.0,2001.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,0.88,0.74,0.88,150000.0,1.0,0.0,0.0,0.0,50000.0
135.0,2001.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,0.88,0.74,0.88,3500000.0,0.0,0.0,1.0,0.0,3500000.0
138.0,1990.0,32.0,11.0,1051.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.5,3.2,0.2727272727272727,0.2286689419795222,0.1103896103896104,0.09,0.0,0.09,0.09,0.09,0.14,0.13,0.27,0.14,0.27,7500000.0,0.0,1.0,0.0,0.0,2000000.0
140.0,1998.0,27.0,14.0,1342.0,14.9,7.0,1.0,8.0,5.0,2.0,2.0,3.0,0.0,7.2,5.7,0.8,6.4,0.07692307692307693,0.07167235494880546,0.26623376623376627,0.47,0.07,0.54,0.34,0.4,0.48,0.05,0.54,0.38,0.43,200000.0,0.0,1.0,0.0,0.0,200000.0
142.0,1994.0,22.0,18.0,1477.0,16.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.6,4.6,1.5,6.1,0.1958041958041958,0.09556313993174062,0.32142857142857145,0.12,0.12,0.24,0.12,0.24,0.28,0.09,0.37,0.28,0.37,4000000.0,0.0,0.0,1.0,0.0,4000000.0
143.0,1997.0,13.0,7.0,727.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,0.006993006993006993,0.13993174061433447,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,25000000.0,0.0,1.0,0.0,0.0,6500000.0
145.0,1996.0,27.0,13.0,1236.0,13.7,8.0,6.0,14.0,8.0,0.0,1.0,1.0,0.0,5.8,5.0,4.6,9.6,0.34965034965034963,0.1945392491467577,0.29220779220779225,0.58,0.44,1.02,0.58,1.02,0.42,0.33,0.75,0.36,0.7,90000000.0,0.0,0.0,1.0,0.0,25000000.0
